id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,host_year,host_month,host_quarter,host_tenure_days
6678058,34953514,Jeffrey,2015-06-03,100.0,1.0,1.0,seattle,WA,98199,United States,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",110.0,700.0,2700.0,150.0,35.0,2,0.0,1,1125,12,93.0,strict,1.98,2015,6,2,3905
1696194,8956137,William,2013-09-20,100.0,6.0,6.0,seattle,WA,98199,United States,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",228.0,1900.0,2200.0,500.0,95.0,1,0.0,2,1125,11,96.0,strict,0.51,2013,9,3,4526
9352778,208959,Val,2010-08-22,100.0,1.0,1.0,seattle,WA,98199,United States,House,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Gym,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",110.0,650.0,2200.0,100.0,112.0,4,20.0,2,15,2,100.0,strict,2.0,2010,8,3,5651
2720963,3676438,Dan,2012-09-25,100.0,1.0,1.0,seattle,WA,98199,United States,House,Entire home/apt,6,3.5,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Dog(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",950.0,650.0,2200.0,250.0,0.0,6,100.0,3,1125,5,96.0,strict,0.74,2012,9,3,4886
6591879,34487300,E.J.,2015-05-29,100.0,1.0,1.0,seattle,WA,98199,United States,Apartment,Entire home/apt,4,1.5,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",225.0,1575.0,5500.0,500.0,165.0,1,0.0,7,1125,1,100.0,strict,0.16,2015,5,2,3910
10023353,12166833,Monika,2014-02-12,100.0,2.0,2.0,seattle,WA,98199,United States,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",125.0,750.0,3000.0,0.0,110.0,4,15.0,1,1125,0,96.0,strict,0.0,2014,2,1,4381
8207987,43281593,Ann,2015-09-03,100.0,1.0,1.0,seattle,WA,98199,United States,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",68.0,400.0,1600.0,0.0,30.0,1,80.0,3,1125,0,96.0,flexible,0.0,2015,9,3,3813
3971346,14446306,Derek,2014-04-18,100.0,1.0,1.0,seattle,WA,98199,United States,House,Entire home/apt,6,1.5,3.0,3.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",250.0,650.0,2200.0,300.0,50.0,1,0.0,2,6,35,98.0,moderate,2.14,2014,4,2,4316
3382533,5177328,Andrea,2013-02-21,100.0,6.0,6.0,seattle,WA,98199,United States,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,90,50,98.0,strict,2.84,2013,2,1,4737
8943821,11274242,Loida,2014-01-13,100.0,1.0,1.0,seattle,WA,98199,United States,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",48.0,650.0,2200.0,0.0,12.0,1,10.0,2,1125,2,100.0,moderate,0.98,2014,1,1,4411
